GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0022201223,1610612765,Pistons,DET,Detroit,240.000000:00,0.418,0.153,0.248,0.273,0.453,0.232,0.041,0.211
0022201223,1610612741,Bulls,CHI,Chicago,240.000000:00,0.453,0.232,0.041,0.193,0.418,0.153,0.248,0.327
0022201229,1610612756,Suns,PHX,Phoenix,240.000000:00,0.495,0.222,0.068,0.203,0.515,0.24,0.094,0.321
0022201229,1610612746,Clippers,LAC,LA,240.000000:00,0.515,0.24,0.094,0.25,0.495,0.222,0.068,0.271
0022201225,1610612740,Pelicans,NOP,New Orleans,240.000000:00,0.461,0.322,0.141,0.212,0.555,0.378,0.162,0.224
0022201225,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,0.555,0.378,0.162,0.163,0.461,0.322,0.141,0.308
0022201221,1610612761,Raptors,TOR,Toronto,240.000000:00,0.563,0.168,0.087,0.149,0.537,0.256,0.143,0.152
0022201221,1610612749,Bucks,MIL,Milwaukee,240.000000:00,0.537,0.256,0.143,0.152,0.563,0.168,0.087,0.234
0022201227,1610612758,Kings,SAC,Sacramento,240.000000:00,0.5,0.176,0.155,0.2,0.542,0.298,0.2,0.457
0022201227,1610612743,Nuggets,DEN,Denver,240.000000:00,0.542,0.298,0.2,0.326,0.5,0.176,0.155,0.24
0022201226,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,0.567,0.178,0.152,0.17,0.473,0.196,0.119,0.218
0022201226,1610612763,Grizzlies,MEM,Memphis,240.000000:00,0.473,0.196,0.119,0.2,0.567,0.178,0.152,0.277
0022201218,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,0.449,0.18,0.158,0.204,0.494,0.37,0.184,0.283
0022201218,1610612766,Hornets,CHA,Charlotte,240.000000:00,0.494,0.37,0.184,0.217,0.449,0.18,0.158,0.241
0022201219,1610612753,Magic,ORL,Orlando,240.000000:00,0.517,0.267,0.138,0.232,0.651,0.241,0.175,0.244
