GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_ID,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
On/Off Court,1610612737,ATL,Atlanta Hawks,1630180,"Bey, Saddiq",Off,26,629.0,-4.8,114.7,119.4,-4.7
On/Off Court,1610612737,ATL,Atlanta Hawks,203992,"Bogdanović, Bogdan",Off,82,2462.0,-0.8,112.7,113.5,-0.8
On/Off Court,1610612737,ATL,Atlanta Hawks,203991,"Capela, Clint",Off,82,2241.0,1.2,113.7,112.7,1.0
On/Off Court,1610612737,ATL,Atlanta Hawks,1628381,"Collins, John",Off,82,1841.0,1.2,113.9,113.1,0.8
On/Off Court,1610612737,ATL,Atlanta Hawks,1629633,"Culver, Jarrett",Off,42,1904.0,-0.9,111.4,112.5,-1.1
On/Off Court,1610612737,ATL,Atlanta Hawks,202324,"Favors, Derrick",Off,6,288.0,5.8,122.4,116.4,5.9
On/Off Court,1610612737,ATL,Atlanta Hawks,1628981,"Fernando, Bruno",Off,26,1217.0,1.6,120.2,118.6,1.6
On/Off Court,1610612737,ATL,Atlanta Hawks,1630235,"Forrest, Trent",Off,82,3694.0,1.1,116.0,115.3,0.7
On/Off Court,1610612737,ATL,Atlanta Hawks,1631100,"Griffin, AJ",Off,82,2570.0,-0.7,114.8,115.5,-0.7
On/Off Court,1610612737,ATL,Atlanta Hawks,1628988,"Holiday, Aaron",Off,82,3126.0,0.1,115.8,115.8,0.0
On/Off Court,1610612737,ATL,Atlanta Hawks,203200,"Holiday, Justin",Off,56,2302.0,1.1,114.7,113.8,0.9
On/Off Court,1610612737,ATL,Atlanta Hawks,1629631,"Hunter, De'Andre",Off,82,1845.0,1.1,114.0,112.9,1.1
On/Off Court,1610612737,ATL,Atlanta Hawks,1630552,"Johnson, Jalen",Off,82,2929.0,0.6,115.8,115.7,0.0
On/Off Court,1610612737,ATL,Atlanta Hawks,1626163,"Kaminsky, Frank",Off,56,2537.0,-0.3,113.5,114.0,-0.5
On/Off Court,1610612737,ATL,Atlanta Hawks,1630249,"Krejčí, Vít",Off,82,3806.0,0.3,115.7,115.4,0.3
On/Off Court,1610612737,ATL,Atlanta Hawks,1631213,"Martin, Tyrese",Off,82,3905.0,0.3,115.6,115.4,0.2
On/Off Court,1610612737,ATL,Atlanta Hawks,1629726,"Mathews, Garrison",Off,26,1174.0,1.7,119.7,118.0,1.7
On/Off Court,1610612737,ATL,Atlanta Hawks,1627749,"Murray, Dejounte",Off,82,1278.0,3.2,114.9,112.7,2.2
On/Off Court,1610612737,ATL,Atlanta Hawks,1630168,"Okongwu, Onyeka",Off,82,2122.0,-0.9,114.3,115.7,-1.4
On/Off Court,1610612737,ATL,Atlanta Hawks,1631495,"Williams, Donovan",Off,38,1830.0,1.4,119.9,118.5,1.4
On/Off Court,1610612737,ATL,Atlanta Hawks,1629027,"Young, Trae",Off,82,1430.0,-2.6,111.4,112.6,-1.2
On/Off Court,1610612738,BOS,Boston Celtics,1627763,"Brogdon, Malcolm",Off,82,2252.0,7.5,117.8,109.7,8.1
On/Off Court,1610612738,BOS,Boston Celtics,1627759,"Brown, Jaylen",Off,82,1591.0,8.4,116.6,107.5,9.1
On/Off Court,1610612738,BOS,Boston Celtics,1630551,"Champagnie, Justin",Off,2,73.0,17.8,125.0,105.3,19.7
On/Off Court,1610612738,BOS,Boston Celtics,1631120,"Davison, JD",Off,82,3930.0,6.6,117.4,110.5,6.9
On/Off Court,1610612738,BOS,Boston Celtics,201568,"Gallinari, Danilo",Off,82,3996.0,6.4,117.3,110.6,6.7
On/Off Court,1610612738,BOS,Boston Celtics,201933,"Griffin, Blake",Off,82,3427.0,6.0,117.0,110.7,6.3
On/Off Court,1610612738,BOS,Boston Celtics,1630573,"Hauser, Sam",Off,82,2706.0,5.6,117.2,111.0,6.2
On/Off Court,1610612738,BOS,Boston Celtics,201143,"Horford, Al",Off,82,2075.0,5.2,113.9,108.0,5.8
On/Off Court,1610612738,BOS,Boston Celtics,1628382,"Jackson, Justin",Off,55,2568.0,7.5,117.9,110.3,7.7
On/Off Court,1610612738,BOS,Boston Celtics,1629662,"Kabengele, Mfiondu",Off,82,3960.0,6.5,117.3,110.5,6.8
On/Off Court,1610612738,BOS,Boston Celtics,1628436,"Kornet, Luke",Off,82,3192.0,7.1,117.8,110.3,7.5
On/Off Court,1610612738,BOS,Boston Celtics,203488,"Muscala, Mike",Off,27,998.0,7.5,118.1,110.4,7.7
On/Off Court,1610612738,BOS,Boston Celtics,1630202,"Pritchard, Payton",Off,82,3353.0,7.5,118.4,110.7,7.7
On/Off Court,1610612738,BOS,Boston Celtics,203935,"Smart, Marcus",Off,82,2039.0,6.9,114.8,107.5,7.3
On/Off Court,1610612738,BOS,Boston Celtics,1628369,"Tatum, Jayson",Off,82,1264.0,2.5,110.1,107.2,2.9
