GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_ID,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
On/Off Court,1610612737,ATL,Atlanta Hawks,1630180,"Bey, Saddiq",On,25,629.0,7.6,122.2,114.3,8.0
On/Off Court,1610612737,ATL,Atlanta Hawks,203992,"Bogdanović, Bogdan",On,54,1509.0,2.0,117.3,116.1,1.2
On/Off Court,1610612737,ATL,Atlanta Hawks,203991,"Capela, Clint",On,65,1730.0,-0.8,115.3,116.4,-1.1
On/Off Court,1610612737,ATL,Atlanta Hawks,1628381,"Collins, John",On,71,2130.0,-0.5,115.0,115.2,-0.2
On/Off Court,1610612737,ATL,Atlanta Hawks,1629633,"Culver, Jarrett",On,10,137.0,-6.7,108.5,114.1,-5.7
On/Off Court,1610612737,ATL,Atlanta Hawks,1628981,"Fernando, Bruno",On,8,41.0,-4.6,96.6,102.3,-5.6
On/Off Court,1610612737,ATL,Atlanta Hawks,1630235,"Forrest, Trent",On,23,277.0,-10.1,104.3,114.4,-10.1
On/Off Court,1610612737,ATL,Atlanta Hawks,1631100,"Griffin, AJ",On,72,1401.0,2.2,113.6,112.0,1.5
On/Off Court,1610612737,ATL,Atlanta Hawks,1628988,"Holiday, Aaron",On,63,845.0,1.0,110.8,110.0,0.9
On/Off Court,1610612737,ATL,Atlanta Hawks,203200,"Holiday, Justin",On,28,411.0,-7.7,103.9,111.9,-7.9
On/Off Court,1610612737,ATL,Atlanta Hawks,1629631,"Hunter, De'Andre",On,67,2126.0,-0.4,114.9,115.5,-0.6
On/Off Court,1610612737,ATL,Atlanta Hawks,1630552,"Johnson, Jalen",On,70,1042.0,-0.5,111.1,110.8,0.3
On/Off Court,1610612737,ATL,Atlanta Hawks,1626163,"Kaminsky, Frank",On,26,176.0,0.3,110.3,111.5,-1.2
On/Off Court,1610612737,ATL,Atlanta Hawks,1630249,"Krejčí, Vít",On,29,165.0,-0.9,107.7,109.5,-1.8
On/Off Court,1610612737,ATL,Atlanta Hawks,1631213,"Martin, Tyrese",On,16,66.0,0.7,106.7,104.4,2.3
On/Off Court,1610612737,ATL,Atlanta Hawks,1629726,"Mathews, Garrison",On,9,84.0,-2.3,113.5,116.4,-2.9
On/Off Court,1610612737,ATL,Atlanta Hawks,1627749,"Murray, Dejounte",On,74,2693.0,-1.1,114.3,115.4,-1.1
On/Off Court,1610612737,ATL,Atlanta Hawks,1630168,"Okongwu, Onyeka",On,80,1849.0,1.6,114.2,112.4,1.8
On/Off Court,1610612737,ATL,Atlanta Hawks,1631495,"Williams, Donovan",On,2,4.0,67.8,120.0,60.0,60.0
On/Off Court,1610612737,ATL,Atlanta Hawks,1629027,"Young, Trae",On,73,2541.0,1.9,115.9,114.6,1.3
On/Off Court,1610612738,BOS,Boston Celtics,1627763,"Brogdon, Malcolm",On,67,1744.0,5.0,114.4,109.3,5.1
On/Off Court,1610612738,BOS,Boston Celtics,1627759,"Brown, Jaylen",On,67,2405.0,5.1,116.6,111.2,5.4
On/Off Court,1610612738,BOS,Boston Celtics,1630551,"Champagnie, Justin",On,2,23.0,-4.1,116.7,128.9,-12.2
On/Off Court,1610612738,BOS,Boston Celtics,1631120,"Davison, JD",On,12,66.0,-4.4,102.9,108.7,-5.8
On/Off Court,1610612738,BOS,Boston Celtics,201933,"Griffin, Blake",On,41,569.0,8.9,116.5,106.6,9.9
