GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MINUTES,PTS,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,BOX_OUTS
22201227,1610612758,Kings,SAC,Sacramento,240.000000:00,95,41,24,17,13,2,5,13,0,0,0,1,1,2,2,2
22201227,1610612743,Nuggets,DEN,Denver,240.000000:00,109,37,21,16,15,0,5,10,1,1,2,1,1,2,2,2
22201226,1610612763,Grizzlies,MEM,Memphis,240.000000:00,100,41,22,19,10,1,7,16,2,1,3,0,2,2,2,2
22201226,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,115,59,33,26,5,1,11,23,1,2,3,0,2,2,2,2
22201220,1610612754,Pacers,IND,Indiana,240.000000:00,141,42,30,12,13,0,7,15,2,3,5,0,11,9,0,11
22201220,1610612752,Knicks,NYK,New York,240.000000:00,136,40,26,14,14,0,8,20,1,3,4,1,2,1,0,3
22201216,1610612737,Hawks,ATL,Atlanta,240.000000:00,114,46,17,29,20,2,10,23,4,5,9,2,8,10,6,10
22201216,1610612738,Celtics,BOS,Boston,240.000000:00,120,35,21,14,12,0,13,37,4,3,7,1,8,8,5,9
22201219,1610612753,Magic,ORL,Orlando,240.000000:00,110,28,8,20,25,0,5,13,1,1,2,1,1,2,2,2
22201219,1610612748,Heat,MIA,Miami,240.000000:00,123,33,19,14,17,1,12,29,4,2,6,1,0,1,1,1
22201221,1610612749,Bucks,MIL,Milwaukee,240.000000:00,105,46,30,16,10,0,12,26,3,0,3,1,3,4,3,4
22201221,1610612761,Raptors,TOR,Toronto,240.000000:00,121,52,33,19,14,0,10,24,1,3,4,0,2,2,0,2
