SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
22022,1610612753,ORL,Orlando Magic,Misc,Offensive,0.862,82,0.062,0.595,0.425,0.231,0.504,0.041,0.018,0.316,0.459,566,337,68,160,92
22022,1610612758,SAC,Sacramento Kings,Misc,Offensive,1.0,82,0.055,0.659,0.5,0.236,0.508,0.052,0.014,0.349,0.529,504,332,68,136,68
22022,1610612754,IND,Indiana Pacers,Misc,Offensive,0.759,82,0.058,0.579,0.384,0.219,0.51,0.032,0.009,0.304,0.447,539,312,58,151,93
22022,1610612747,LAL,Los Angeles Lakers,Misc,Offensive,0.931,82,0.055,0.604,0.423,0.237,0.495,0.033,0.008,0.326,0.454,515,311,60,142,82
22022,1610612764,WAS,Washington Wizards,Misc,Offensive,0.793,82,0.059,0.582,0.434,0.24,0.525,0.03,0.01,0.317,0.477,526,306,56,129,73
22022,1610612762,UTA,Utah Jazz,Misc,Offensive,0.276,82,0.063,0.514,0.388,0.21,0.546,0.03,0.005,0.282,0.425,595,306,57,147,90
22022,1610612751,BKN,Brooklyn Nets,Misc,Offensive,0.897,82,0.058,0.596,0.431,0.248,0.52,0.029,0.008,0.322,0.463,512,305,53,123,70
22022,1610612765,DET,Detroit Pistons,Misc,Offensive,0.414,82,0.061,0.53,0.379,0.209,0.543,0.039,0.009,0.285,0.417,564,299,55,145,90
22022,1610612746,LAC,LA Clippers,Misc,Offensive,0.621,82,0.059,0.56,0.435,0.192,0.54,0.026,0.009,0.279,0.497,530,297,64,147,83
22022,1610612749,MIL,Milwaukee Bucks,Misc,Offensive,0.448,82,0.059,0.537,0.373,0.202,0.532,0.044,0.013,0.282,0.428,549,295,57,153,96
22022,1610612742,DAL,Dallas Mavericks,Misc,Offensive,0.517,82,0.06,0.555,0.366,0.251,0.519,0.025,0.004,0.304,0.427,526,292,45,123,78
22022,1610612748,MIA,Miami Heat,Misc,Offensive,0.552,82,0.059,0.557,0.376,0.231,0.545,0.025,0.002,0.303,0.419,519,289,44,117,73
22022,1610612757,POR,Portland Trail Blazers,Misc,Offensive,0.379,82,0.061,0.528,0.409,0.221,0.576,0.031,0.007,0.285,0.465,547,289,47,115,68
22022,1610612763,MEM,Memphis Grizzlies,Misc,Offensive,0.483,82,0.054,0.552,0.424,0.244,0.515,0.022,0.006,0.31,0.484,509,281,53,125,72
22022,1610612756,PHX,Phoenix Suns,Misc,Offensive,0.31,82,0.059,0.521,0.354,0.223,0.544,0.026,0.007,0.286,0.377,539,281,46,130,84
22022,1610612744,GSW,Golden State Warriors,Misc,Offensive,0.103,82,0.066,0.455,0.386,0.181,0.594,0.028,0.01,0.251,0.431,618,281,56,145,89
22022,1610612752,NYK,New York Knicks,Misc,Offensive,0.828,82,0.051,0.593,0.366,0.233,0.475,0.034,0.008,0.322,0.401,472,280,52,142,90
22022,1610612745,HOU,Houston Rockets,Misc,Offensive,0.207,82,0.059,0.508,0.411,0.169,0.541,0.027,0.005,0.274,0.442,551,280,67,163,96
22022,1610612737,ATL,Atlanta Hawks,Misc,Offensive,0.966,82,0.049,0.608,0.508,0.192,0.551,0.05,0.009,0.316,0.553,459,279,62,122,60
22022,1610612750,MIN,Minnesota Timberwolves,Misc,Offensive,0.241,82,0.059,0.51,0.449,0.174,0.583,0.046,0.009,0.263,0.537,539,275,61,136,75
22022,1610612755,PHI,Philadelphia 76ers,Misc,Offensive,0.345,82,0.055,0.524,0.39,0.195,0.565,0.029,0.002,0.279,0.441,487,255,46,118,72
22022,1610612738,BOS,Boston Celtics,Misc,Offensive,0.586,82,0.049,0.557,0.408,0.213,0.562,0.027,0.004,0.291,0.481,447,249,42,103,61
22022,1610612761,TOR,Toronto Raptors,Misc,Offensive,0.724,82,0.046,0.576,0.301,0.266,0.457,0.04,0.012,0.319,0.333,429,247,37,123,86
22022,1610612739,CLE,Cleveland Cavaliers,Misc,Offensive,0.655,82,0.05,0.563,0.389,0.22,0.535,0.03,0.002,0.304,0.435,437,246,42,108,66
22022,1610612766,CHA,Charlotte Hornets,Misc,Offensive,0.172,82,0.052,0.496,0.391,0.198,0.568,0.033,0.002,0.267,0.422,486,241,45,115,70
22022,1610612740,NOP,New Orleans Pelicans,Misc,Offensive,0.138,82,0.056,0.473,0.367,0.19,0.582,0.033,0.008,0.259,0.396,510,241,44,120,76
22022,1610612743,DEN,Denver Nuggets,Misc,Offensive,0.034,82,0.061,0.439,0.357,0.184,0.581,0.016,0.0,0.242,0.411,549,241,46,129,83
22022,1610612760,OKC,Oklahoma City Thunder,Misc,Offensive,0.69,82,0.045,0.565,0.335,0.189,0.452,0.045,0.009,0.296,0.361,423,239,52,155,103
22022,1610612759,SAS,San Antonio Spurs,Misc,Offensive,0.0,82,0.057,0.413,0.412,0.144,0.616,0.02,0.009,0.227,0.441,547,226,56,136,80
22022,1610612741,CHI,Chicago Bulls,Misc,Offensive,0.069,82,0.046,0.443,0.409,0.179,0.6,0.048,0.005,0.254,0.419,413,183,38,93,55
