GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
22201230,1610612757,Trail Blazers,POR,Portland,240:00,38,95,0.4,9,35,0.257,16,24,0.667,6,24,30,25,5,3,14,9,101,-56
22201230,1610612744,Warriors,GSW,Golden State,240:00,58,96,0.604,27,49,0.551,14,16,0.875,9,49,58,47,13,6,15,18,157,56
22201222,1610612764,Wizards,WAS,Washington,240:00,41,97,0.423,14,45,0.311,13,21,0.619,14,37,51,28,11,5,12,21,109,-5
22201222,1610612745,Rockets,HOU,Houston,240:00,44,90,0.489,6,21,0.286,20,28,0.714,13,38,51,24,8,6,15,15,114,5
22201227,1610612758,Kings,SAC,Sacramento,240:00,37,85,0.435,11,43,0.256,10,15,0.667,10,24,34,24,7,6,15,18,95,-14
22201227,1610612743,Nuggets,DEN,Denver,240:00,42,84,0.5,7,28,0.25,18,25,0.72,15,36,51,25,11,2,16,15,109,14
22201228,1610612762,Jazz,UTA,Utah,240:00,51,101,0.505,10,35,0.286,5,6,0.833,7,38,45,31,4,4,11,16,117,-11
22201228,1610612747,Lakers,LAL,Los Angeles,240:00,47,97,0.485,18,45,0.4,16,21,0.762,10,39,49,28,4,7,10,9,128,11
22201223,1610612765,Pistons,DET,Detroit,240:00,31,85,0.365,9,33,0.273,10,13,0.769,15,44,59,20,1,3,24,16,81,-22
22201223,1610612741,Bulls,CHI,Chicago,240:00,40,95,0.421,6,30,0.2,17,22,0.773,11,37,48,21,15,7,3,16,103,22
22201221,1610612761,Raptors,TOR,Toronto,240:00,48,95,0.505,11,33,0.333,14,16,0.875,7,38,45,29,8,2,9,19,121,16
22201221,1610612749,Bucks,MIL,Milwaukee,240:00,38,82,0.463,12,34,0.353,17,21,0.81,7,31,38,28,5,2,14,13,105,-16
22201226,1610612760,Thunder,OKC,Oklahoma City,240:00,45,90,0.5,12,36,0.333,13,16,0.813,8,41,49,30,5,2,14,17,115,15
