GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
22200767,1610612749,Bucks,MIL,Milwaukee,240:00,43,105,0.41,15,44,0.341,23,27,0.852,16,50,66,18,7,8,12,21,124,9
22200767,1610612766,Hornets,CHA,Charlotte,240:00,42,111,0.378,11,39,0.282,20,26,0.769,18,44,62,27,6,6,11,24,115,-9
22200765,1610612752,Knicks,NYK,New York,265:00,44,98,0.449,7,34,0.206,28,32,0.875,13,32,45,27,6,3,9,24,123,-6
22200765,1610612747,Lakers,LAL,Los Angeles,265:00,48,93,0.516,11,33,0.333,22,31,0.71,11,33,44,29,6,1,14,23,129,6
22200768,1610612740,Pelicans,NOP,New Orleans,240:00,42,85,0.494,8,27,0.296,21,25,0.84,8,28,36,28,13,2,15,24,113,-9
22200768,1610612743,Nuggets,DEN,Denver,240:00,43,87,0.494,16,36,0.444,20,24,0.833,10,34,44,33,7,3,18,21,122,9
22200764,1610612748,Heat,MIA,Miami,240:00,34,78,0.436,14,31,0.452,18,25,0.72,9,36,45,21,7,3,13,17,100,3
22200764,1610612739,Cavaliers,CLE,Cleveland,240:00,40,83,0.482,11,40,0.275,6,12,0.5,5,34,39,32,9,6,13,20,97,-3
22200766,1610612746,Clippers,LAC,LA,240:00,37,93,0.398,12,44,0.273,22,26,0.846,11,33,44,24,15,6,8,16,108,5
22200766,1610612741,Bulls,CHI,Chicago,240:00,38,77,0.494,12,24,0.5,15,21,0.714,6,45,51,26,6,6,20,19,103,-5
22200759,1610612760,Thunder,OKC,Oklahoma City,240:00,46,93,0.495,11,24,0.458,17,20,0.85,8,35,43,23,10,4,16,18,120,-8
22200759,1610612744,Warriors,GSW,Golden State,240:00,46,90,0.511,20,47,0.426,16,20,0.8,6,38,44,37,9,4,15,18,128,8
22200756,1610612755,76ers,PHI,Philadelphia,240:00,40,85,0.471,11,30,0.367,18,23,0.783,8,37,45,28,8,3,19,25,109,-10
22200756,1610612753,Magic,ORL,Orlando,240:00,42,99,0.424,11,29,0.379,24,30,0.8,15,35,50,23,11,6,10,16,119,10
22200758,1610612758,Kings,SAC,Sacramento,265:00,47,99,0.475,9,30,0.3,15,22,0.682,10,40,50,20,15,3,12,21,118,7
22200758,1610612750,Timberwolves,MIN,Minnesota,265:00,43,92,0.467,12,39,0.308,13,25,0.52,8,41,49,26,7,3,18,16,111,-7
22200763,1610612757,Trail Blazers,POR,Portland,240:00,43,79,0.544,19,40,0.475,24,27,0.889,3,29,32,24,2,7,8,21,129,4
22200763,1610612737,Hawks,ATL,Atlanta,240:00,44,94,0.468,13,30,0.433,24,30,0.8,17,28,45,26,5,0,6,21,125,-4
22200761,1610612765,Pistons,DET,Detroit,240:00,36,79,0.456,14,39,0.359,19,27,0.704,9,31,40,18,9,6,14,31,105,-6
22200761,1610612742,Mavericks,DAL,Dallas,240:00,39,79,0.494,10,34,0.294,23,33,0.697,9,31,40,17,6,1,10,18,111,6
22200762,1610612761,Raptors,TOR,Toronto,240:00,40,89,0.449,9,33,0.273,17,19,0.895,16,28,44,19,9,4,13,19,106,-8
22200762,1610612756,Suns,PHX,Phoenix,240:00,43,87,0.494,11,28,0.393,17,21,0.81,13,29,42,28,10,4,12,16,114,8
22200760,1610612764,Wizards,WAS,Washington,240:00,48,86,0.558,16,30,0.533,15,17,0.882,5,40,45,32,7,8,13,19,127,21
22200760,1610612759,Spurs,SAS,San Antonio,240:00,42,97,0.433,7,29,0.241,15,23,0.652,14,29,43,26,6,6,10,20,106,-21
22200753,1610612763,Grizzlies,MEM,Memphis,240:00,43,89,0.483,9,37,0.243,17,22,0.773,15,26,41,29,10,8,7,21,112,12
22200753,1610612754,Pacers,IND,Indiana,240:00,36,79,0.456,9,32,0.281,19,21,0.905,11,27,38,21,4,6,17,22,100,-12
22200754,1610612746,Clippers,LAC,LA,240:00,37,89,0.416,2,19,0.105,23,27,0.852,15,30,45,17,6,0,13,19,99,-23
22200754,1610612739,Cavaliers,CLE,Cleveland,240:00,44,78,0.564,20,33,0.606,14,19,0.737,4,31,35,35,9,7,10,23,122,23
22200755,1610612740,Pelicans,NOP,New Orleans,240:00,41,93,0.441,13,34,0.382,15,21,0.714,8,30,38,25,7,3,12,20,110,-25
22200755,1610612749,Bucks,MIL,Milwaukee,240:00,53,96,0.552,17,43,0.395,12,20,0.6,12,45,57,27,7,4,11,18,135,25
22200749,1610612747,Lakers,LAL,Los Angeles,265:00,47,105,0.448,12,42,0.286,15,20,0.75,11,36,47,30,4,0,12,23,121,-4
22200749,1610612738,Celtics,BOS,Boston,265:00,39,84,0.464,13,40,0.325,34,39,0.872,7,39,46,18,8,9,12,22,125,4
22200746,1610612758,Kings,SAC,Sacramento,240:00,37,82,0.451,9,33,0.273,27,36,0.75,10,26,36,23,5,0,9,21,110,-7
22200746,1610612750,Timberwolves,MIN,Minnesota,240:00,42,80,0.525,17,37,0.459,16,21,0.762,9,35,44,25,5,2,19,26,117,7
22200751,1610612761,Raptors,TOR,Toronto,240:00,48,92,0.522,10,30,0.333,17,18,0.944,15,30,45,24,6,3,6,18,123,18
22200751,1610612757,Trail Blazers,POR,Portland,240:00,40,76,0.526,7,24,0.292,18,23,0.783,3,24,27,18,3,6,11,16,105,-18
22200743,1610612745,Rockets,HOU,Houston,240:00,44,92,0.478,8,27,0.296,21,27,0.778,16,32,48,20,8,4,17,20,117,3
22200743,1610612765,Pistons,DET,Detroit,240:00,38,83,0.458,14,38,0.368,24,31,0.774,8,27,35,23,10,5,16,25,114,-3
22200742,1610612752,Knicks,NYK,New York,240:00,45,88,0.511,10,28,0.357,15,19,0.789,14,31,45,19,4,4,10,14,115,-7
22200742,1610612751,Nets,BKN,Brooklyn,240:00,46,87,0.529,22,40,0.55,8,14,0.571,9,26,35,31,5,3,8,17,122,7
22200750,1610612762,Jazz,UTA,Utah,240:00,39,82,0.476,13,36,0.361,17,24,0.708,13,36,49,26,9,6,16,23,108,8
