GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,STARTERS_BENCH,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
22200101,1610612762,Jazz,UTA,Utah,Starters,138:41,24,50,0.48,12,26,0.462,11,15,0.733,8,22,30,20,7,6,7,18,71
22200101,1610612763,Grizzlies,MEM,Memphis,Starters,129:19,22,53,0.415,4,14,0.286,17,26,0.654,9,20,29,7,4,3,9,12,65
22200101,1610612762,UTA,Utah,jazz,Bench,101:19,18,39,0.462,7,21,0.333,7,7,1.0,3,15,18,6,3,0,8,12,50
22200101,1610612763,MEM,Memphis,grizzlies,Bench,110:41,16,39,0.41,2,12,0.167,6,16,0.375,9,14,23,7,4,1,7,5,40
22200100,1610612749,Bucks,MIL,Milwaukee,Starters,147:28,31,63,0.492,8,26,0.308,19,22,0.864,10,21,31,15,4,4,13,14,89
22200100,1610612765,Pistons,DET,Detroit,Starters,168:06,36,74,0.486,7,25,0.28,11,13,0.846,9,20,29,14,7,2,11,17,90
22200100,1610612749,MIL,Milwaukee,bucks,Bench,92:33,7,24,0.292,3,14,0.214,4,7,0.571,4,15,19,5,1,1,3,7,21
22200100,1610612765,DET,Detroit,pistons,Bench,71:54,5,18,0.278,1,4,0.25,7,8,0.875,4,10,14,5,2,1,1,7,18
22200099,1610612737,Hawks,ATL,Atlanta,Starters,140:20,25,57,0.439,7,19,0.368,13,17,0.765,5,17,22,21,1,1,16,16,70
22200099,1610612761,Raptors,TOR,Toronto,Starters,158:24,31,68,0.456,11,25,0.44,23,30,0.767,7,25,32,19,8,7,5,15,96
22200099,1610612737,ATL,Atlanta,hawks,Bench,99:40,14,27,0.519,4,10,0.4,7,8,0.875,2,13,15,7,0,3,2,11,39
22200099,1610612761,TOR,Toronto,raptors,Bench,81:36,15,24,0.625,3,9,0.333,10,10,1.0,5,7,12,6,5,2,1,7,43
22200098,1610612751,Nets,BKN,Brooklyn,Starters,178:43,37,67,0.552,9,24,0.375,15,16,0.938,5,27,32,24,9,8,13,14,98
22200098,1610612754,Pacers,IND,Indiana,Starters,153:04,25,54,0.463,9,29,0.31,14,19,0.737,2,21,23,16,5,4,18,12,73
22200098,1610612751,BKN,Brooklyn,nets,Bench,61:17,6,13,0.462,2,6,0.333,4,4,1.0,1,6,7,2,2,1,6,4,18
22200098,1610612754,IND,Indiana,pacers,Bench,86:56,16,33,0.485,2,10,0.2,2,4,0.5,8,7,15,7,6,1,6,12,36
22200089,1610612738,Celtics,BOS,Boston,Starters,133:32,21,52,0.404,12,31,0.387,10,10,1.0,3,27,30,14,3,1,7,8,64
22200089,1610612764,Wizards,WAS,Washington,Starters,132:03,18,56,0.321,4,19,0.211,7,9,0.778,8,22,30,13,2,3,4,9,47
22200089,1610612738,BOS,Boston,celtics,Bench,106:28,15,27,0.556,9,16,0.563,9,10,0.9,1,16,17,15,1,4,6,7,48
22200089,1610612764,WAS,Washington,wizards,Bench,107:57,20,42,0.476,3,13,0.231,4,7,0.571,7,14,21,9,3,3,4,11,47
