SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
22023,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,Isolation,Offensive,0.541,70,0.138,0.947,0.41,0.136,0.061,0.127,0.053,0.43,0.459,3.3,3.1,1.1,2.8,1.6
22023,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,Transition,Offensive,0.783,70,0.228,1.272,0.673,0.216,0.168,0.205,0.069,0.603,0.724,5.4,6.8,2.5,3.7,1.2
22023,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,PRBallHandler,Offensive,0.639,70,0.187,0.909,0.481,0.123,0.195,0.114,0.019,0.435,0.53,4.4,4.0,1.5,3.1,1.6
22023,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,PRRollman,Offensive,0.709,70,0.063,1.272,0.619,0.136,0.117,0.136,0.068,0.573,0.69,1.5,1.9,0.7,1.2,0.5
22023,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,Postup,Offensive,0.596,70,0.106,1.006,0.518,0.144,0.109,0.115,0.04,0.506,0.518,2.5,2.5,1.0,2.0,0.9
22023,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,Spotup,Offensive,0.784,70,0.098,1.148,0.463,0.049,0.08,0.049,0.037,0.432,0.609,2.3,2.7,1.0,2.1,1.1
22023,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,Handoff,Offensive,0.821,70,0.033,1.109,0.468,0.055,0.109,0.055,0.018,0.436,0.596,0.8,0.9,0.3,0.7,0.4
22023,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,Cut,Offensive,0.804,70,0.048,1.468,0.82,0.165,0.101,0.165,0.038,0.747,0.82,1.1,1.7,0.7,0.9,0.2
22023,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,OffScreen,Offensive,0.859,70,0.032,1.25,0.524,0.135,0.096,0.115,0.038,0.519,0.667,0.7,0.9,0.3,0.6,0.3
22023,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,OffRebound,Offensive,0.38,70,0.027,1.045,0.538,0.068,0.068,0.068,0.023,0.523,0.538,0.6,0.7,0.3,0.6,0.3
22023,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,Misc,Offensive,0.538,70,0.041,0.515,0.429,0.147,0.559,0.059,0.015,0.25,0.476,1.0,0.5,0.1,0.3,0.2
